,country_name,country_code,2005,2007,2008,2010,2012,2014,continent,sub_region,median_avg,pre_financial,post_financial,recovered_yr,recovered_yr_2014
147,Slovenia,SVN,6.51,4.82,4.37,7.24,8.84,9.67,Europe,Southern Europe,4.6,-2.1399999999999997,-2.87,-4.47,-5.3
148,Solomon Islands,SLB,1.76,1.88,1.89,1.58,1.05,0.73,Oceania,Melanesia,1.88,0.1299999999999999,0.30999999999999983,0.8399999999999999,1.16
149,Somalia,SOM,19.01,18.9,18.92,18.96,18.97,18.93,Africa,Eastern Africa,18.91,-0.08999999999999986,-0.03999999999999915,-0.04999999999999716,-0.00999999999999801
150,South Africa,ZAF,29.12,26.54,22.41,24.68,24.73,24.89,Africa,Southern Africa,24.48,-6.710000000000001,-2.2699999999999996,-2.3200000000000003,-2.4800000000000004
151,South Sudan,SSD,12.11,12.11,12.15,12.18,12.2,12.19,Africa,Eastern Africa,12.13,0.040000000000000924,-0.02999999999999936,-0.049999999999998934,-0.03999999999999915
152,Spain,ESP,9.15,8.23,11.25,19.86,24.79,24.44,Europe,Southern Europe,9.74,2.0999999999999996,-8.61,-13.54,-13.190000000000001
153,Sri Lanka,LKA,7.67,5.97,5.22,4.78,3.88,4.19,Asia,Southern Asia,5.6,-2.45,0.4399999999999995,1.3399999999999999,1.0299999999999994
154,St. Lucia,LCA,18.7,14.0,12.72,17.11,19.06,21.3,Americas,Caribbean,13.36,-5.979999999999999,-4.389999999999999,-6.339999999999998,-8.58
155,St. Vincent and the Grenadines,VCT,19.75,19.06,18.79,19.05,18.97,19.05,Americas,Caribbean,18.92,-0.9600000000000009,-0.26000000000000156,-0.17999999999999972,-0.26000000000000156
156,Sudan,SDN,14.97,14.82,14.8,15.2,17.45,17.43,Africa,Northern Africa,14.81,-0.16999999999999993,-0.3999999999999986,-2.6499999999999986,-2.629999999999999
157,Suriname,SUR,9.38,9.03,8.88,7.15,8.1,6.94,Americas,South America,8.96,-0.5,1.7300000000000004,0.7800000000000011,1.9400000000000004
